Unnamed: 0,Structure,σ(RT)(S cm-1),Ea (eV),space group,ICSD Entry,DOI
732,Li2ZnGeS4,1.40E-09,,,,10.1016/s0167-2738(00)00277-0
733,Li9.6P3S12,1.20E-03,0.259,,,10.1038/nenergy.2016.30
734,Li1.3Al0.3Ge1.7(PO4)3,8.24E-05,0.386,,,10.1021/acsami.8b00842
735,Li1.6Al0.6Ge1.4(PO4)3,2.84E-04,0.43,,,10.1021/acsami.8b00842
736,LiTi2(PO4)3-0.2Li2O,2.40E-04,,,,10.1149/1.2086597
737,LiTi2(PO4)3-0.3Li2O,1.50E-03,,,,10.1149/1.2086597
738,LiTi2(PO4)3-0.4Li2O,1.30E-04,,,,
739,Li1.3Al0.3Ti1.7(PO4)3-0.3Li2O,3.50E-04,,,,10.1149/1.2086597
740,LiTi2(PO4)3-0.1Li4P2O7,1.60E-04,,,,10.1149/1.2086597
741,Li1.4Al0.4Ti1.6 (PO4)3,3.38E-03,0.3,,,10.1016/j.jeurceramsoc.2014.11.023
742,Li1.2Ge0.2Ti1.8(PO4)3,7.94E-05,0.27,,,10.1016/j.jeurceramsoc.2014.11.023
743,Li1.5Ge0.5Ti1.5(PO4)3,1.90E-04,0.33,,,10.1016/j.jeurceramsoc.2014.11.023
744,Li1.2Al0.2Ti1.8(PO4)3,3.38E-03,0.28,,427619.0,10.1016/j.jeurceramsoc.2014.11.023
745,Li3ClO,8.50E-04,0.26,,,
746,Li3Cl0.5Br0.5O,1.94E-03,0.18,,,10.1021/ja305709z
747,Li3OCl,1.47E-04,0.26,,,
748,Li3OCl0.5Br0.5,9.49E-04,0.18,,,10.1021/ja305709z
749,Li6.6La2.6Ce0.4Zr2O12,1.44E-05,0.48,,,10.21236/ada609099
750,Li1.4Al0.4Ti1.6(PO4)3,1.10E-03,,,,10.1016/j.materresbull.2007.08.007
751,80Li2S * 20P2S5,7.20E-04,,,,10.1016/s1388-2481(02)00555-6; 10.1016/s1388-2481(02)00555-6
752,0.8Li2S-0.2P2S5,7.20E-04,,,,10.1016/s1388-2481(02)00555-6; 10.1016/s1388-2481(02)00555-6
753,0.75Li2S-0.25P2S5,2.80E-04,,,,10.1016/s1388-2481(02)00555-6
754,Li2S*P2S5*P2S3,5.40E-03,,,,10.1016/j.ssi.2010.06.018
755,Li2S*P2S5*Li3N,1.40E-03,,,,10.1016/j.ssi.2017.03.010
756,Li5La3Nb1.9Y0.1O12,1.44E-05,0.55,,,10.1016/j.jpowsour.2011.05.031
757,Li7La3Zr2O12,2.35E-04,0.339,,,10.1016/j.jpowsour.2010.11.089
758,Li6.88La3Zr1.88Nb0.12O12,5.99E-04,0.319,,,10.1016/j.jpowsour.2010.11.089
759,Li6.75La3Zr1.75Nb0.25O12,7.71E-04,0.3,,,10.1016/j.jpowsour.2010.11.089
760,Li6.62La3Zr1.62Nb0.38O12,4.41E-04,0.31,,,10.1016/j.jpowsour.2010.11.089
761,Li6.5La3Zr1.5Nb0.5O12,2.98E-04,0.319,,,10.1016/j.jpowsour.2010.11.089
762,Li6La3ZrNbO12,1.50E-04,0.42,,,10.1016/j.jpowsour.2010.11.089
763,Li5La3Nb2O12,3.00E-05,0.44,,,
764,Li7La3Hf2O12,2.40E-04,0.29,,,10.1007/s11581-010-0486-2
765,Li7GePS8,7.00E-03,0.22,,,
766,Li10(Ge0.95Si0.05)P2S12,8.63E-03,0.251,,,10.1016/j.jpowsour.2014.07.159
767,Li10(Ge0.9Si0.1)P2S12,8.07E-03,0.26,,,10.1016/j.jpowsour.2014.07.159
768,Li10(Ge0.8Si0.2)P2S12,7.28E-03,0.261,,,10.1016/j.jpowsour.2014.07.159
